Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
218,Jamaal Williams,NOR,28,RB,13,4,20,18,90.0%,62,3.4,0,1,30.0,12,3.1,1.4,4.8,1,WillJa06
219,Calvin Austin,PIT,24,WR,17,1,30,17,56.7%,180,10.6,1,7,40.0,72,6.0,1.0,10.6,2,AustCa00
220,Matt Breida,NYG,28,RB,17,4,21,17,81.0%,88,5.2,0,2,19.0,22,4.2,1.0,5.2,1,BreiMa00
221,Will Dissly,SEA,27,TE,16,14,22,17,77.3%,172,10.1,1,8,59.1,21,7.8,1.1,10.8,0,DissWi00
222,Rico Dowdle,DAL,25,RB,16,0,22,17,77.3%,144,8.5,2,6,40.9,32,6.5,1.1,9.0,0,DowdRi01
223,Clyde Edwards-Helaire,KAN,24,RB,15,3,22,17,77.3%,188,11.1,1,7,50.0,48,8.5,1.1,12.5,0,EdwaCl00
224,Brevin Jordan,HOU,23,TE,14,6,21,17,81.0%,219,12.9,2,13,81.0,27,10.4,1.2,15.6,0,JordBr00
225,Johnny Mundt,MIN,29,TE,17,0,23,17,73.9%,172,10.1,1,8,52.2,32,7.5,1.0,10.1,0,MundJo00
226,Latavius Murray,BUF,33,RB,16,4,22,17,77.3%,119,7.0,0,7,45.5,22,5.4,1.1,7.4,1,MurrLa00
227,Tyler Scott,CHI,22,WR,17,4,32,17,53.1%,168,9.9,0,10,43.8,30,5.3,1.0,9.9,1,ScotTy00
