"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Cole Kmet","CHI","16","TE","84","70","2","678","1","6","0","1","83.3","6.65","8.07","9.69","4.16","18","14","6","21.4","20","100","8","6","9.5","8.6","100","3","0","2","0","0","0","0.67","0.33","0","0","1","1","0","33.3","0","1","0","33.3","0","0","0","139","0.17","1.9"
"Charlie Kolar","BLT","13","TE","5","4","0","64","0","1","0","1","80","12.8","12.8","16","3.75","2","2","1","40","50","100","1","1","20","25","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.4","0.08","3.6"
"Tre' McKitty","LAC","6","TE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Brady Russell","SEA","5","TE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Josh Whyle","TEN","11","TE","15","9","0","94","0","1","0","1","60","9.8","6.27","10.44","4.44","5","2","1","33.3","22.2","100","3","1","20","11.1","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19.9","0.13","2.21"
"Tucker Fisk","ATL","5","TE","1","1","0","9","0","0","0","0","100","4","9","9","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4","0.02","1.4"
"Colby Parkinson","SEA","16","TE","27","22","0","239","0","2","0","1","81.5","7.67","8.85","10.86","4","9","7","2","33.3","31.8","100","3","1","11.1","4.5","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","46.9","0.1","2.13"
"Matt Bushman","KC","1","TE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Mark Andrews","BLT","10","TE","60","45","0","544","0","6","0","4","75","8.2","9.07","12.09","4.82","18","13","6","30","28.9","100","6","3","10","6.7","50","1","0","0","0","0","0","0","0","0","0","0","1","0","100","0","0","0","0","0","0","0","112.9","0.24","2.45"
"Hayden Hurst","CAR","9","TE","30","18","1","184","0","1","0","2","60","8.6","6.13","10.22","3.72","6","4","1","20","22.2","100","2","0","6.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33.4","0.11","1.86"
