"Player","Team","Pos","Fantasy Points Pts","Fantasy Points x-Pts","Fantasy Points +/-","Points Per Game PPG","Points Per Game x-PPG","Points Per Game +/-","#G","Receiving Rec","Receiving X-Rec","Receiving Yds","Receiving X-Yds","Receiving TD","Receiving X-TD","Rushing Yds","Rushing X-Yds","Rushing TD","Rushing X-TD"
"Nick Bawden","NYJ","RB","1.1","1.1","0","1.1","1.1","0","1","1","0.88","6","6.1","0","0","0","0","0","0"
"Mike Evans","TB","WR","22","19.7","2.3000000000000007","22","19.7","2.3","1","6","5.21","70","73.02","2","1.632","0","0","0","0"
"Pat Freiermuth","PIT","TE","16.5","15.3","1.1999999999999993","16.5","15.3","1.2","1","9","7.53","120","95.7","0","0.3264","0","0","0","0"
"Kayshon Boutte","NE","WR","1.3","2.4","-1.0999999999999999","1.3","2.4","-1.1","1","1","1.16","8","18.09","0","0","0","0","0","0"
"Kareem Hunt","CLV","RB","2.2","6.4","-4.2","2.2","6.4","-4.2","1","0","0","0","0","0","0","22","24.3922","0","0.66"
"Lil'Jordan Humphrey","DEN","WR","1.8","1.2","0.6000000000000001","1.8","1.2","0.6","1","1","0.85","13","8.23","0","0","0","0","0","0"
"Roschon Johnson","CHI","RB","9.5","11.2","-1.6999999999999993","9.5","11.2","-1.7","1","4","3.56","40","25.17","0","0.24","35","48.853","0","0.1"
"Josh Downs","IND","WR","6.8","18.5","-11.7","6.8","18.5","-11.7","1","5","9.06","43","76.54","0","1.0464","0","0","0","0"
"Jerry Jeudy","DEN","WR","2.1","5.1","-2.9999999999999996","2.1","5.1","-3","1","2","2.18","11","16.19","0","0.4032","0","0","0","0"
"Laviska Shenault Jr.","CAR","WR","1.3","1.2","0.10000000000000009","1.3","1.2","0.1","1","1","0.82","8","8.26","0","0","0","0","0","0"
"Gerald Everett","LAC","TE","12.3","7.3","5.000000000000001","12.3","7.3","5","1","4","2.87","43","26.63","1","0.5376","0","0","0","0"
"Charlie Woerner","SF","TE","1.4","1.2","0.19999999999999996","1.4","1.2","0.2","1","1","0.87","9","7.99","0","0","0","0","0","0"
"D'Ernest Johnson","JAX","RB","6.6","6.4","0.1999999999999993","6.6","6.4","0.2","1","1","1.65","42","13.89","0","0","19","29.2138","0","0.21"
"Jauan Jennings","SF","WR","1.2","2.6","-1.4000000000000001","1.2","2.6","-1.4","1","1","0.91","7","11.14","0","0.1728","0","0","0","0"
"Dalton Kincaid","BUF","TE","6.3","7.6","-1.2999999999999998","6.3","7.6","-1.3","1","5","4.57","38","50.63","0","0.048","0","0","0","0"
"Andrei Iosivas","CIN","WR","2.1","2.7","-0.6000000000000001","2.1","2.7","-0.6","1","1","1.29","16","17.1","0","0.0576","0","0","0","0"
"Diontae Johnson","PIT","WR","7","12.8","-5.800000000000001","7","12.8","-5.8","1","4","4.58","50","56.93","0","0.7968","0","0","0","0"
"Jayden Reed","GB","WR","13","10.1","2.9000000000000004","13","10.1","2.9","1","4","4.61","34","52.35","1","0.2496","16","8.6534","0","0.03"
"Juwan Johnson","NO","TE","6.5","8","-1.5","6.5","8","-1.5","1","4","4.35","45","43.7","0","0.24","0","0","0","0"
"Evan Engram","JAX","TE","7.4","12.4","-5","7.4","12.4","-5","1","5","6.03","49","61.73","0","0.528","0","0","0","0"
"Austin Ekeler","LAC","RB","8.9","13.6","-4.699999999999999","8.9","13.6","-4.7","1","5","5.04","32","27.79","0","0.3648","32","39.8076","0","0.35"
"David Bell","CLV","WR","0","0.9","-0.9","0","0.9","-0.9","1","0","0.74","0","5.56","0","0","0","0","0","0"
"Tyler Lockett","SEA","WR","4.5","7.7","-3.2","4.5","7.7","-3.2","1","3","3.01","30","41.1","0","0.3456","0","0","0","0"
"Tank Bigsby","JAX","RB","0.6","0.5","0.09999999999999998","0.6","0.5","0.1","1","0","0","0","0","0","0","6","4.8902","0","0"
"Cedric Tillman","CLV","WR","7.5","7.6","-0.09999999999999964","7.5","7.6","-0.1","1","4","2.98","55","35.63","0","0.4224","0","0","0","0"
"Rashod Bateman","BLT","WR","3.1","5.5","-2.4","3.1","5.5","-2.4","1","2","3.03","21","37.57","0","0.0384","0","0","0","0"
"Braxton Berrios","MIA","WR","0","1.1","-1.1","0","1.1","-1.1","1","0","0.79","0","6.91","0","0","0","0","0","0"
"Darnell Washington","PIT","TE","1.5","1.3","0.19999999999999996","1.5","1.3","0.2","1","1","0.82","10","8.68","0","0","0","0","0","0"
"K.J. Osborn","MIN","WR","4.9","4.9","0","4.9","4.9","0","1","3","2.84","34","34.21","0","0.0096","0","0","0","0"
"Will Dissly","SEA","TE","2.6","1.5","1.1","2.6","1.5","1.1","1","1","0.81","21","11.2","0","0","0","0","0","0"
"Tucker Kraft","GB","TE","8.5","4.4","4.1","8.5","4.4","4.1","1","2","1.6","15","9.7","1","0.4416","0","0","0","0"
"Alexander Mattison","MIN","RB","7.3","6.9","0.39999999999999947","7.3","6.9","0.4","1","2","1.85","11","10.1","0","0.0288","52","46.6382","0","0.02"
"KaVontae Turpin","DAL","WR","9.9","2","7.9","9.9","2","7.9","1","1","0.21","34","7.14","1","0.2016","0","0","0","0"
