"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"166","Kyle Juszczyk (SF)","0","0","0","0","0","0","0","1","0","0","0","0","16","0.0","0.0","1.4%"
"167","Rex Burkhead (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","10.0%"
"168","Kerwynn Williams (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"169","Cordarrelle Patterson (PIT)","12","158","13.2","50","3","3","45","77","469","10.4","4","0","16","0.0","0.0","1.4%"
"170","Michael Ford (FA)","0","0","0","0","0","0","0","0","0","0","0","0","12","0.0","0.0","0.0%"
"171","Evan Rodriguez (FA)","0","0","0","0","0","0","0","1","0","0","0","0","7","0.0","0.0","0.0%"
"172","Kahlil Bell (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"173","Bruce Miller (FA)","7","13","1.9","4","0","0","25","36","243","9.7","0","0","14","0.0","0.0","0.0%"
"174","Delone Carter (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"175","Chris Rainey (FA)","0","0","0","0","0","0","0","1","0","0","0","0","2","0.0","0.0","0.0%"
"176","Will Tukuafu (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"177","Nick Bellore (FA)","0","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","7.0%"
"178","Montell Owens (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"179","Quinn Johnson (FA)","0","0","0","0","0","0","0","1","0","0","0","0","4","0.0","0.0","0.0%"
"180","Spencer Larsen (FA)","0","0","0","0","0","0","0","0","0","0","0","0","13","0.0","0.0","0.0%"
"181","Darius Reynaud (FA)","1","0","0.0","0","0","0","1","2","4","4.0","0","1","9","-0.6","-0.1","0.0%"
"182","Tyler Clutts (FA)","0","0","0","0","0","0","1","2","4","4.0","0","1","8","-0.6","-0.1","0.0%"
""
""
