"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"251",13,"Robert Woods",HOU,"WR91","159","238","196.4","24.1","+30"
"252",13,"Reggie Wayne",FA,"WR92","145","200","177.0","19.3","-58"
"253",13,"Minnesota Vikings",MIN,"DST16","136","184","166.3","17.1","-47"
"254",13,"Detroit Lions",DET,"DST17","131","188","163.4","20.8","-11"
"255",13,"Toby Gerhart",FA,"RB84","173","322","205.1","45.1","+43"
"256",13,"San Francisco 49ers",SF,"DST18","132","155","148.8","9.7","+60"
"257",13,"Jeff Cumberland",FA,"TE35","157","241","191.0","26.7","+152"
"258",13,"Garrett Graham",FA,"TE36","172","292","198.9","38.9","+154"
"259",13,"Albert Wilson",FA,"WR93","164","301","207.3","38.5","+200"
"260",13,"De'Anthony Thomas",FA,"WR94","173","361","210.9","65.2","+95"
"261",13,"Ryan Fitzpatrick",FA,"QB29","151","386","214.9","74.1","-6"
"262",13,"Crockett Gillmore",FA,"TE37","146","228","179.2","29.3","+91"
"263",13,"Marcedes Lewis",CHI,"TE38","147","318","196.4","61.7","+151"
"264",13,"Robert Griffin III",FA,"QB30","168","445","225.8","98.5","-35"
"265",13,"Cordarrelle Patterson",ATL,"RB85","171","326","212.9","47.8","-39"
"266",13,"Cleveland Browns",CLE,"DST19","134","152","144.3","7.6","+43"
"267",13,"Justin Hunter",FA,"WR95","172","355","215.2","63.3","0"
"268",13,"Zac Stacy",FA,"RB86","180","297","206.5","40.7","+43"
"269",13,"Mike Tolbert",FA,"RB87","108","264","194.0","50.7","+108"
"270",13,"Antonio Andrews",FA,"RB88","167","200","177.8","13.3","+150"
"271",13,"Travaris Cadet",FA,"RB89","170","253","192.8","31.3","+77"
"272",13,"Pittsburgh Steelers",PIT,"DST20","137","177","156.7","16.3","+38"
"273",13,"Dan Bailey",FA,"K1","139","169","158.0","13.5","-70"
"274",13,"Chris Conley",SF,"WR96","142","308","197.5","66.2","+3"
