Player,Position,Age,AP1,PB,St,wAV,DrAV,Games,Cmp,Pass_Att,Pass_Yds,Pass_TD,Int,Rush_Att,Rush_Yds,Rush_TD,Rec,Rec_Yds,Rec_TD,Tackles,Int,Sk
Denzel Perryman,ILB,22,0,1,6,36,23,96,0,0,0,0,0,0,0,0,0,0,0,406,5,6
John Brown,WR,24,0,0,5,36,19,103,1,1,28,1,0,13,47,0,321,4790,32,,,
Jonathan Bostic,LB,22,0,0,5,36,5,121,0,0,0,0,0,0,0,0,0,0,0,348,3,9.5
Eddie Lacy,RB,23,0,1,3,36,34,60,0,0,0,0,0,857,3614,23,107,947,6,,,
Dalvin Tomlinson,DT,23,0,0,6,35,25,93,0,0,0,0,0,0,0,0,0,0,0,143,,13
Ereck Flowers,T,21,0,0,7,35,18,105,0,0,0,0,0,0,0,0,1,-11,0,,,
DeVante Parker,WR,22,0,0,5,35,32,106,0,0,0,0,0,0,0,0,369,5266,27,3,,
Kenny Stills,WR,21,0,0,5,35,14,130,1,1,3,1,0,5,9,0,316,4911,38,,,
Vince Williams,LB,23,0,0,5,35,35,121,0,0,0,0,0,0,0,0,0,0,0,333,2,20.5
Maxx Crosby,DE,22,0,2,4,34,34,66,0,0,0,0,0,0,0,0,0,0,0,150,,37.5
Kolton Miller,T,22,0,0,5,34,34,79,0,0,0,0,0,0,0,0,0,0,0,,,
Garett Bolles,T,25,0,0,5,34,34,82,0,0,0,0,0,0,0,0,0,0,0,,,
Larry Ogunjobi,DT,23,0,0,5,34,21,92,0,0,0,0,0,0,0,0,0,0,0,162,,23
Trey Hendrickson,OLB,22,0,2,3,34,11,76,0,0,0,0,0,0,0,0,0,0,0,90,,42
Graham Glasgow,C,24,0,0,5,34,25,99,0,0,0,0,0,0,0,0,0,0,0,,,
D.J. Reader,NT,22,0,0,4,34,22,91,0,0,0,0,0,0,0,0,0,0,0,129,,8.5
Trey Flowers,DE,22,0,0,4,34,24,79,0,0,0,0,0,0,0,0,0,0,0,161,,31.5
Ha Ha Clinton-Dix,DB,21,0,1,6,34,24,98,0,0,0,0,0,0,0,0,0,0,0,417,16,5.5
Billy Turner,T,22,0,0,5,34,5,91,0,0,0,0,0,0,0,0,0,0,0,,,
Preston Brown,LB,21,0,0,6,34,28,81,0,0,0,0,0,0,0,0,0,0,0,350,5,1
Bashaud Breeland,DB,22,0,0,7,34,20,107,0,0,0,0,0,0,0,0,0,0,0,345,16,1
Matt Paradis,OL,24,0,0,6,34,21,98,0,0,0,0,0,0,0,0,0,0,0,,,
Kenny Vaccaro,DB,22,0,0,7,34,20,110,0,0,0,0,0,0,0,0,0,0,0,437,10,11.5
John Simon,DE,22,0,0,4,34,1,100,0,0,0,0,0,0,0,0,0,0,0,184,2,21
