"Player","Team","Pos","Fantasy Points Pts","Fantasy Points x-Pts","Fantasy Points +/-","Points Per Game PPG","Points Per Game x-PPG","Points Per Game +/-","#G","Receiving Rec","Receiving X-Rec","Receiving Yds","Receiving X-Yds","Receiving TD","Receiving X-TD","Rushing Yds","Rushing X-Yds","Rushing TD","Rushing X-TD"
"Trishton Jackson","MIN","WR","1.2","1.3","-0.10000000000000009","1.2","1.3","-0.1","1","1","0.82","7","8.64","0","0","0","0","0","0"
"Calvin Ridley","JAX","WR","1","6","-5","1","6","-5","1","1","2.36","5","40.22","0","0.0384","0","4.851","0","0.01"
"Tyreek Hill","MIA","WR","20.3","21","-0.6999999999999993","20.3","21","-0.7","1","11","10.73","88","107.06","1","0.816","0","0","0","0"
"Michael Mayer","LV","TE","2.3","5.1","-2.8","2.3","5.1","-2.8","1","2","2.76","13","29.88","0","0.1152","0","0","0","0"
"Alvin Kamara","NO","RB","21.3","31.2","-9.899999999999999","21.3","31.2","-9.9","1","12","12.17","91","94.21","0","0.192","62","60.6722","0","1.41"
"Ross Dwelley","SF","TE","1.7","1.6","0.09999999999999987","1.7","1.6","0.1","1","1","0.85","12","5.24","0","0.1152","0","0","0","0"
"Tutu Atwell","LA","WR","9.6","3","6.6","9.6","3","6.6","1","1","0.87","31","14.97","1","0.1728","0","0","0","0"
"Rashee Rice","KC","WR","14.5","8.8","5.699999999999999","14.5","8.8","5.7","1","5","4.19","60","44.22","1","0.3744","0","0","0","0"
"Deonte Harty","BUF","WR","1.5","1.1","0.3999999999999999","1.5","1.1","0.4","1","1","0.82","10","6.84","0","0","0","0","0","0"
"Tyler Higbee","LA","TE","1.2","4","-2.8","1.2","4","-2.8","1","1","2.2","7","23.92","0","0.0768","0","0","0","0"
"Amari Cooper","CLV","WR","3.2","10.9","-7.7","3.2","10.9","-7.7","1","2","4.64","22","73.02","0","0.2208","0","0","0","0"
"Jameson Williams","DET","WR","0","9.3","-9.3","0","9.3","-9.3","1","0","2.96","0","55.37","0","0.384","0","0","0","0"
"Julio Jones","PHI","WR","0.8","1.2","-0.3999999999999999","0.8","1.2","-0.4","1","1","0.85","3","8.2","0","0","0","0","0","0"
"Kadarius Toney","KC","WR","1.8","1.5","0.30000000000000004","1.8","1.5","0.3","1","1","0.72","13","11.42","0","0","0","0","0","0"
"DeVonta Smith","PHI","WR","6.9","5.7","1.2000000000000002","6.9","5.7","1.2","1","4","2.93","49","42.13","0","0.0096","0","0","0","0"
"DJ Moore","CHI","WR","9.4","12.4","-3","9.4","12.4","-3","1","8","6.32","54","47.64","0","0.7488","0","0","0","0"
"Jamaal Williams","NO","RB","1.4","2.5","-1.1","1.4","2.5","-1.1","1","0","0","0","0","0","0","14","21.5698","0","0.05"
"Sam LaPorta","DET","TE","8.2","8.5","-0.3000000000000007","8.2","8.5","-0.3","1","6","5.1","52","58.54","0","0.0096","0","0","0","0"
"George Pickens","PIT","WR","13.2","11.4","1.799999999999999","13.2","11.4","1.8","1","5","5.02","107","84.59","0","0.0672","0","0","0","0"
"Zay Flowers","BLT","WR","9.5","9","0.5","9.5","9","0.5","1","4","4.46","75","54.93","0","0.2112","0","0","0","0"
"Khari Blasingame","CHI","RB","0.9","1.6","-0.7000000000000001","0.9","1.6","-0.7","1","1","0.83","4","4.83","0","0.1248","0","0","0","0"
"Colby Parkinson","SEA","TE","3.6","2.7","0.8999999999999999","3.6","2.7","0.9","1","2","0.91","26","11.32","0","0.192","0","0","0","0"
"Foster Moreau","NO","TE","4.8","6.1","-1.2999999999999998","4.8","6.1","-1.3","1","3","2.61","33","26.24","0","0.3648","0","0","0","0"
"Travis Homer","CHI","RB","0","1.1","-1.1","0","1.1","-1.1","1","0","0.96","0","5.25","0","0.0096","0","0","0","0"
"Jamal Agnew","JAX","WR","5.5","8.9","-3.4000000000000004","5.5","8.9","-3.4","1","4","4.34","36","47.98","0","0.24","-1","4.6844","0","0"
"Deven Thompkins","TB","WR","3","3.4","-0.3999999999999999","3","3.4","-0.4","1","3","2.62","15","20.04","0","0.0096","0","0","0","0"
"Marcedes Lewis","CHI","TE","2.1","1.7","0.40000000000000013","2.1","1.7","0.4","1","1","0.75","16","6.17","0","0.1248","0","0","0","0"
